,Alter,Einkommen,Geschlecht,Zeit,KundeNr,Preis,Niederlassung
538,51,64923,1.0,39,K1122,,Nordrhein-Westfalen
539,48,57701,1.0,22,K1232,,Nordrhein-Westfalen
540,38,25073,0.0,44,K1427,,Berlin
541,54,59813,0.0,39,K1360,,Berlin
542,52,55752,1.0,42,K1875,,Bayern
543,31,35492,1.0,39,K1961,,Nordrhein-Westfalen
544,69,75983,0.0,47,K1295,,Hessen
545,70,57964,1.0,20,K1220,,Hessen
546,37,38361,0.0,25,K1842,,Nordrhein-Westfalen
547,51,67445,0.0,38,K1285,,Bayern
548,41,40291,1.0,40,K1406,,Thüringen
549,45,34928,1.0,14,K1784,,Bayern
550,69,95449,0.0,35,K1743,,Berlin
551,30,44854,0.0,36,K1754,,Hessen
552,60,74006,0.0,43,K1721,,Bayern
553,67,92235,1.0,29,K1701,,Bayern
554,54,81957,0.0,31,K1622,,Berlin
555,31,31912,0.0,29,K1980,,Bayern
556,67,100322,0.0,50,K1150,,Bayern
557,47,56853,1.0,43,K1912,,Bayern
558,35,33579,0.0,34,K1262,,Baden-Württemberg
559,53,50242,0.0,32,K1770,,Nordrhein-Westfalen
560,52,58522,0.0,36,K1276,,Sachsen
561,35,35620,0.0,33,K1121,,Bayern
562,58,68324,1.0,35,K1616,,Bayern
563,44,64786,1.0,56,K1153,,Baden-Württemberg
564,32,45043,0.0,17,K1967,,Nordrhein-Westfalen
565,54,72200,1.0,33,K1854,,Hessen
566,46,61880,0.0,40,K1620,,Sachsen
567,70,97121,1.0,36,K1722,,Baden-Württemberg
568,68,91036,1.0,40,K1585,,Brandenburg
569,34,55437,0.0,41,K1388,,Sachsen
570,70,67947,0.0,18,K1694,,Bayern
571,68,67645,0.0,51,K1330,,Berlin
572,52,71199,1.0,29,K1131,,Berlin
573,34,31569,1.0,58,K1953,,Baden-Württemberg
574,45,50681,1.0,41,K1542,,Hessen
575,39,42755,1.0,30,K1949,,Hessen
576,60,61876,0.0,20,K1469,,Hessen
577,59,77392,1.0,44,K1334,,Hessen
578,35,31305,1.0,27,K1142,,Baden-Württemberg
579,66,76359,0.0,22,K1962,,Sachsen
580,59,58008,1.0,35,K1479,,Baden-Württemberg
581,31,41923,1.0,33,K1574,,Nordrhein-Westfalen
582,33,37291,1.0,27,K1964,,Bayern
583,64,80850,0.0,36,K1863,,Baden-Württemberg
584,31,24167,1.0,41,K1756,,Niedersachsen
585,46,47676,1.0,55,K1299,,Bayern
586,39,40081,0.0,53,K1865,,Nordrhein-Westfalen
587,63,84772,1.0,30,K1973,,Düsseldorf
588,30,21238,1.0,30,K1608,,Berlin
589,54,53423,0.0,36,K1966,,Hamburg
590,49,55265,1.0,57,K1846,,Baden-Württemberg
591,65,79612,0.0,34,K1684,,Hessen
592,40,41616,0.0,48,K1993,,Nordrhein-Westfalen
593,30,54906,0.0,36,K1267,,Nordrhein-Westfalen
594,67,67953,0.0,38,K1735,,Niedersachsen
595,39,54069,1.0,42,K1257,,Bayern
596,58,68239,1.0,38,K1789,,Baden-Württemberg
597,39,47801,1.0,29,K1734,,Baden-Württemberg
598,42,54451,0.0,17,K1780,,Hessen
599,63,72872,1.0,32,K1216,,Brandenburg
600,69,77933,1.0,43,K1331,,Thüringen
601,39,39742,1.0,37,K1723,,Niedersachsen
602,48,46968,1.0,16,K1208,,Hessen
603,62,84204,1.0,68,K1526,,Bayern
604,59,64971,1.0,29,K1524,,Sachsen
605,30,25293,1.0,37,K1691,,Sachsen
606,48,57289,0.0,16,K1224,,Nordrhein-Westfalen
607,47,53602,1.0,33,K1158,,Nordrhein-Westfalen
608,62,70856,1.0,40,K1256,,Berlin
609,45,65988,1.0,55,K1508,,Sachsen
610,61,43123,1.0,46,K1944,,Baden-Württemberg
611,42,41050,1.0,27,K1312,,Baden-Württemberg
612,53,61112,0.0,20,K1857,,Baden-Württemberg
613,70,79595,1.0,51,K1822,,Thüringen
614,66,76115,0.0,59,K1113,,Bayern
615,38,29634,1.0,42,K1827,,Baden-Württemberg
616,61,62738,1.0,27,K1141,,Niedersachsen
617,68,94379,1.0,35,K1557,,Niedersachsen
618,42,67920,1.0,48,K1358,,Berlin
619,37,39083,1.0,33,K1408,,Baden-Württemberg
620,65,77272,1.0,41,K1772,,Berlin
621,50,62488,1.0,12,K1676,,Berlin
622,53,59582,0.0,31,K1741,,Hessen
623,69,64084,0.0,52,K1819,,Bayern
624,57,50717,0.0,26,K1367,,Nordrhein-Westfalen
625,62,80655,1.0,35,K1715,,Sachsen
626,46,49160,0.0,39,K1402,,Bayern
627,53,68336,1.0,33,K1519,,Sachsen
628,58,49653,0.0,38,K1255,,Nordrhein-Westfalen
629,56,72358,1.0,44,K1810,,Thüringen
630,44,67182,0.0,38,K1894,,Nordrhein-Westfalen
631,39,50353,0.0,41,K1655,,Hessen
632,36,48307,1.0,16,K1593,,Baden-Württemberg
633,31,28227,1.0,33,K1252,,Baden-Württemberg
634,59,71174,1.0,49,K1251,,Hessen
635,43,59150,0.0,31,K1941,,Thüringen
636,30,40098,0.0,40,K1931,,Sachsen
637,59,61744,1.0,27,K1975,,Thüringen
638,49,64640,1.0,38,K1453,,Brandenburg
639,48,57581,0.0,57,K1568,,Baden-Württemberg
640,61,71947,1.0,33,K1430,,Baden-Württemberg
641,37,57751,1.0,24,K1291,,Baden-Württemberg
642,56,59483,0.0,53,K1228,,Baden-Württemberg
643,68,82507,1.0,24,K1864,,Sachsen
644,65,77623,0.0,41,K1713,,Bayern
645,35,55165,0.0,16,K1248,,Nordrhein-Westfalen
646,60,70843,0.0,33,K1956,,Baden-Württemberg
647,58,68875,1.0,36,K1302,,Nordrhein-Westfalen
648,60,68566,1.0,20,K1714,,Berlin
649,42,54737,0.0,37,K1384,,Berlin
650,68,84266,1.0,43,K1398,,Berlin
651,47,68475,0.0,50,K1505,,Berlin
652,45,47805,0.0,36,K1227,,Berlin
653,68,68468,0.0,43,K1288,,Baden-Württemberg
654,50,61399,0.0,16,K1307,,Niedersachsen
655,62,80040,0.0,36,K1543,,Nordrhein-Westfalen
656,36,62517,0.0,35,K1351,,Nordrhein-Westfalen
657,54,65103,0.0,37,K1520,,Niedersachsen
658,65,72026,0.0,26,K1893,,Sachsen
659,50,38912,1.0,34,K1234,,Berlin
660,31,39505,1.0,15,K1742,,Hessen
661,35,33126,1.0,23,K1507,,Brandenburg
662,57,60794,0.0,32,K1899,,Bayern
663,58,58019,1.0,42,K1794,,Baden-Württemberg
664,50,54638,1.0,45,K1915,,Sachsen
665,54,69123,0.0,56,K1324,,Thüringen
666,55,69613,1.0,46,K1746,,Baden-Württemberg
667,44,49444,1.0,27,K1917,,Baden-Württemberg
668,42,50762,1.0,14,K1777,,Brandenburg
669,39,41453,0.0,40,K1920,,Niedersachsen
670,35,51809,1.0,49,K1729,,Baden-Württemberg
671,38,56413,0.0,43,K1960,,Bayern
672,67,71829,1.0,23,K1785,,Baden-Württemberg
673,67,64683,0.0,22,K1491,,Berlin
674,38,60883,1.0,41,K1968,,Thüringen
675,56,82205,0.0,43,K1614,,Hamburg
676,44,47045,1.0,38,K1372,,Nordrhein-Westfalen
677,48,84746,1.0,36,K1837,,Bayern
678,36,43538,1.0,26,K1546,,Hessen
679,57,72995,1.0,43,K1601,,Niedersachsen
680,48,70707,1.0,35,K1217,,Sachsen
681,42,48260,0.0,41,K1337,,Sachsen
682,56,76155,1.0,29,K1879,,Baden-Württemberg
683,40,26846,1.0,41,K1712,,Bayern
684,60,76138,0.0,36,K1776,,Sachsen
685,63,66691,1.0,52,K1478,,Bayern
686,35,35044,1.0,47,K1977,,Sachsen
687,47,55621,0.0,35,K1856,,Baden-Württemberg
688,60,67687,1.0,33,K1338,,Hessen
689,68,70848,1.0,33,K1911,,Brandenburg
690,53,79245,1.0,31,K1781,,Bayern
691,55,58431,1.0,46,K1422,,Nordrhein-Westfalen
692,63,74594,0.0,28,K1753,,Niedersachsen
693,30,44635,0.0,32,K1515,,Berlin
694,41,49170,1.0,36,K1903,,Baden-Württemberg
695,68,78649,0.0,37,K1463,,Nordrhein-Westfalen
696,31,43375,1.0,38,K1363,,Thüringen
697,44,68126,0.0,24,K1732,,Bayern
698,44,55445,0.0,45,K1737,,Bayern
699,66,79203,1.0,37,K1387,,Sachsen
700,39,59913,0.0,29,K1481,,Bayern
701,39,51488,0.0,14,K1489,,Bayern
702,43,53219,1.0,40,K1329,,Brandenburg
703,50,50945,0.0,45,K1951,,Baden-Württemberg
704,45,52765,0.0,42,K1833,,Hamburg
705,53,53443,1.0,39,K1577,,Nordrhein-Westfalen
706,35,31856,1.0,56,K1452,,Nordrhein-Westfalen
707,47,49585,1.0,42,K1610,,Bayern
708,49,63443,1.0,32,K1744,,Baden-Württemberg
709,41,49634,1.0,65,K1983,,Berlin
710,30,31802,1.0,38,K1929,,Hessen
711,58,52544,1.0,16,K1908,,Niedersachsen
712,31,34124,1.0,33,K1724,,Sachsen
713,30,58746,1.0,32,K1866,,Bayern
714,34,50643,0.0,29,K1750,,Bayern
715,62,63231,1.0,35,K1859,,Hessen
716,34,45507,1.0,39,K1661,,Nordrhein-Westfalen
717,59,85251,1.0,26,K1955,,Berlin
718,39,50013,1.0,31,K1682,,Nordrhein-Westfalen
719,36,43526,1.0,46,K1190,,Sachsen
720,62,59572,1.0,18,K1347,,Baden-Württemberg
721,55,62382,1.0,41,K1803,,Nordrhein-Westfalen
722,48,59163,0.0,41,K1264,,Berlin
723,50,73917,1.0,52,K1629,,Bayern
724,46,63048,1.0,31,K1140,,Berlin
725,57,54319,1.0,53,K1645,,Brandenburg
726,38,45342,1.0,40,K1275,,Berlin
727,52,68579,0.0,24,K1759,,Berlin
728,43,60901,0.0,52,K1891,,Hessen
729,48,65433,0.0,36,K1860,,Sachsen
730,57,64092,1.0,36,K1943,,Nordrhein-Westfalen
731,54,74220,1.0,45,K1200,,Nordrhein-Westfalen
732,59,56608,1.0,49,K1668,,Bayern
733,58,78517,1.0,24,K1345,,Baden-Württemberg
734,40,49709,1.0,20,K1679,,Thüringen
735,32,36992,1.0,26,K1795,,Hamburg
736,66,67550,1.0,18,K1565,,Sachsen
737,56,66602,1.0,55,K1658,,Thüringen
738,35,48822,0.0,21,K1885,,Baden-Württemberg
739,35,50251,0.0,39,K1311,,Nordrhein-Westfalen
740,46,44087,1.0,32,K1497,,Nordrhein-Westfalen
741,69,84659,0.0,32,K1502,,Baden-Württemberg
742,38,46151,1.0,18,K1861,,Niedersachsen
743,39,56023,1.0,59,K1322,,Baden-Württemberg
744,43,53592,0.0,31,K1109,,Nordrhein-Westfalen
745,36,46292,1.0,42,K1747,,Baden-Württemberg
746,51,53493,0.0,57,K1902,,Niedersachsen
747,47,63291,1.0,46,K1717,,Baden-Württemberg
748,62,74418,0.0,30,K1843,,Bayern
749,62,80098,1.0,37,K1651,,Sachsen
750,36,22706,0.0,35,K1830,,Baden-Württemberg
751,64,80694,0.0,20,K1788,,Baden-Württemberg
752,57,69354,1.0,51,K1203,,Thüringen
753,34,37661,1.0,28,K1832,,Bayern
754,49,70657,0.0,47,K1678,,Nordrhein-Westfalen
755,68,82209,0.0,36,K1511,,Nordrhein-Westfalen
756,49,67813,0.0,44,K1607,,Niedersachsen
757,69,69862,1.0,44,K1152,,Hessen
758,57,68849,0.0,30,K1137,,Berlin
759,58,64187,0.0,42,K1305,,Bayern
760,59,63241,1.0,33,K1239,,Berlin
761,58,81205,1.0,46,K1132,,Hessen
762,42,48307,1.0,41,K1952,,Berlin
763,41,51201,1.0,28,K1335,,Berlin
764,38,60020,0.0,25,K1594,,Niedersachsen
765,49,51392,0.0,40,K1483,,Baden-Württemberg
766,68,75570,1.0,35,K1393,,Berlin
767,58,74947,0.0,47,K1523,,Nordrhein-Westfalen
768,53,65983,0.0,48,K1779,,Baden-Württemberg
769,66,80806,1.0,22,K1496,,Bayern
770,44,60135,1.0,50,K1697,,Bayern
771,62,70449,0.0,24,K1603,,Niedersachsen
772,70,87311,0.0,46,K1243,,Berlin
773,51,43966,1.0,51,K1167,,Nordrhein-Westfalen
774,40,50404,1.0,39,K1576,,Baden-Württemberg
775,30,37308,0.0,30,K1752,,Berlin
776,57,77750,0.0,25,K1233,,Bayern
777,39,45047,0.0,28,K1972,,Nordrhein-Westfalen
778,34,33066,0.0,34,K1625,,Baden-Württemberg
779,58,57893,1.0,38,K1169,,Hessen
780,60,63515,1.0,44,K1119,,Nordrhein-Westfalen
781,62,77583,0.0,18,K1261,,Berlin
782,56,41843,0.0,40,K1145,,Berlin
783,30,40182,0.0,32,K1597,,Nordrhein-Westfalen
784,47,58432,0.0,22,K1484,,Baden-Württemberg
785,66,77161,0.0,15,K1292,,Baden-Württemberg
786,38,47188,0.0,41,K1868,,Bayern
787,41,49550,0.0,31,K1321,,Baden-Württemberg
788,30,30096,0.0,8,K1157,,Thüringen
789,45,48971,0.0,55,K1442,,Nordrhein-Westfalen
790,42,35264,1.0,42,K1853,,Baden-Württemberg
791,47,51429,0.0,24,K1824,,Nordrhein-Westfalen
792,48,73148,1.0,40,K1829,,Sachsen
793,51,69768,0.0,32,K1400,,Hessen
794,46,66328,1.0,20,K1806,,Berlin
795,70,66260,0.0,43,K1356,,Nordrhein-Westfalen
796,45,50109,0.0,25,K1831,,Baden-Württemberg
797,46,57509,1.0,43,K1566,,Hamburg
798,58,69209,0.0,34,K1560,,Nordrhein-Westfalen
799,67,81521,1.0,21,K1992,,Baden-Württemberg
800,49,60350,1.0,35,K1374,,Baden-Württemberg
801,42,53357,1.0,47,K1306,,Berlin
802,56,61601,1.0,48,K1266,,Bayern
803,62,65956,1.0,22,K1660,,Berlin
804,30,45591,1.0,26,K1834,,Hessen
805,48,43655,0.0,41,K1506,,Nordrhein-Westfalen
806,59,56316,0.0,35,K1807,,Niedersachsen
807,68,84969,1.0,24,K1581,,Berlin
808,36,43724,1.0,43,K1876,,Nordrhein-Westfalen
809,69,65999,0.0,44,K1210,,Bayern
810,43,53630,1.0,54,K1670,,Baden-Württemberg
811,63,81611,1.0,38,K1494,,Hessen
812,34,43358,1.0,33,K1106,,Berlin
813,52,54508,0.0,30,K1937,,Nordrhein-Westfalen
814,53,68187,0.0,35,K1666,,Baden-Württemberg
815,37,56717,0.0,40,K1185,,Bayern
816,39,40996,1.0,28,K1310,,Hessen
817,59,61880,0.0,35,K1139,,Bayern
818,70,72700,1.0,48,K1880,,Nordrhein-Westfalen
819,60,78633,0.0,41,K1613,,Nordrhein-Westfalen
820,64,67710,1.0,43,K1532,,Nordrhein-Westfalen
821,40,54688,1.0,43,K1559,,Baden-Württemberg
822,36,49200,1.0,58,K1471,,Berlin
823,43,37696,1.0,7,K1196,,Niedersachsen
824,54,71635,1.0,46,K1444,,Baden-Württemberg
825,64,59961,1.0,48,K1669,,Hessen
826,41,38375,0.0,25,K1450,,Thüringen
827,35,51044,1.0,21,K1881,,Sachsen
828,40,54037,0.0,19,K1346,,Nordrhein-Westfalen
829,46,65112,0.0,54,K1118,,Bayern
830,70,69099,0.0,24,K1420,,Sachsen
831,65,77311,0.0,28,K1705,,Nordrhein-Westfalen
832,35,34180,1.0,26,K1492,,Niedersachsen
833,52,66521,1.0,47,K1378,,Nordrhein-Westfalen
834,34,34322,1.0,17,K1271,,Sachsen
835,37,39509,0.0,34,K1988,,Baden-Württemberg
836,40,55845,1.0,26,K1751,,Berlin
837,63,78156,1.0,27,K1923,,Nordrhein-Westfalen
838,35,47150,1.0,12,K1589,,Berlin
839,31,26466,1.0,40,K1978,,Thüringen
840,32,40776,1.0,13,K1609,,Berlin
841,60,65588,0.0,38,K1936,,Bayern
842,58,60418,1.0,55,K1348,,Nordrhein-Westfalen
843,41,45567,0.0,35,K1671,,Baden-Württemberg
844,32,35272,0.0,30,K1667,,Nordrhein-Westfalen
845,46,70647,0.0,52,K1791,,Bayern
846,57,77462,1.0,27,K1294,,Bayern
847,60,54229,1.0,50,K1887,,Hessen
848,30,42931,1.0,34,K1804,,Nordrhein-Westfalen
849,36,44077,0.0,25,K1580,,Nordrhein-Westfalen
850,30,52892,1.0,33,K1786,,Baden-Württemberg
851,46,65676,1.0,20,K1615,,Baden-Württemberg
852,52,49271,1.0,31,K1163,,Niedersachsen
853,55,60312,1.0,26,K1579,,Bayern
854,43,49469,1.0,31,K1665,,Berlin
855,33,49675,0.0,36,K1852,,Hamburg
856,63,60048,0.0,33,K1357,,Berlin
857,65,86000,0.0,39,K1126,,Bayern
858,67,85349,0.0,35,K1418,,Baden-Württemberg
859,42,55437,0.0,37,K1564,,Brandenburg
860,61,74660,1.0,36,K1265,,Bayern
861,43,63300,0.0,44,K1381,,Berlin
862,63,67502,1.0,32,K1296,,Nordrhein-Westfalen
863,40,41373,0.0,50,K1490,,Thüringen
864,39,41160,0.0,37,K1910,,Baden-Württemberg
865,66,89744,0.0,37,K1518,,Bayern
866,62,70988,0.0,38,K1596,,Niedersachsen
867,60,62735,0.0,28,K1448,,Baden-Württemberg
868,70,84240,1.0,30,K1874,,Hamburg
869,46,64231,1.0,52,K1413,,Bayern
870,47,55129,0.0,33,K1766,,Bayern
871,43,59104,1.0,62,K1235,,Niedersachsen
872,59,73522,1.0,26,K1768,,Hamburg
873,51,46979,1.0,43,K1976,,Hamburg
874,34,50082,1.0,19,K1204,,Baden-Württemberg
875,49,61221,1.0,35,K1477,,Nordrhein-Westfalen
876,57,74592,0.0,38,K1192,,Sachsen
877,68,86843,1.0,28,K1563,,Berlin
878,61,72725,1.0,28,K1435,,Berlin
879,32,31562,1.0,52,K1319,,Baden-Württemberg
880,37,44541,0.0,34,K1571,,Niedersachsen
881,44,61848,1.0,22,K1226,,Baden-Württemberg
882,53,64184,0.0,33,K1719,,Brandenburg
883,41,41970,1.0,20,K1125,,Hamburg
884,31,47827,1.0,20,K1805,,Hessen
885,37,41292,0.0,33,K1176,,Niedersachsen
886,32,34391,1.0,48,K1211,,Hessen
887,41,68516,0.0,34,K1375,,Sachsen
888,65,89685,0.0,23,K1965,,Bayern
889,68,95714,0.0,32,K1540,,Bayern
890,49,73319,0.0,27,K1207,,Niedersachsen
891,64,66894,1.0,43,K0310,88160.31,Bayern
892,54,77644,1.0,40,K1042,103145.7,Berlin
893,55,44341,0.0,37,K0382,80565.16,Baden-Württemberg
894,49,67271,0.0,42,K0498,83949.89,Bayern
895,46,49832,0.0,41,K0552,93781.58,Hessen
896,59,62970,1.0,56,K0833,83862.47,Hessen
897,36,23660,1.0,23,K0097,49960.18,Thüringen
898,50,62422,1.0,38,K0290,94530.65,Thüringen
899,32,34112,1.0,36,K0950,62280.35,Bayern
900,62,77546,1.0,52,K0102,124857.23,Baden-Württemberg
901,68,77662,1.0,54,K1098,118227.18,Thüringen
902,45,68432,0.0,39,K0071,82849.76,Berlin
903,51,37169,0.0,31,K1023,57319.84,Sachsen
904,65,78613,1.0,50,K0482,114603.28,Baden-Württemberg
905,53,69721,1.0,54,K0440,98479.34,Hessen
906,62,62350,1.0,42,K0877,84761.44,Hessen
907,34,57844,1.0,54,K0295,62302.49,Nordrhein-Westfalen
908,55,44222,1.0,37,K0329,78218.77,Bayern
909,53,74381,0.0,57,K0433,120881.72,Nordrhein-Westfalen
910,57,45095,0.0,42,K0142,77157.15,Baden-Württemberg
911,43,52813,0.0,44,K0762,67106.32,Berlin
912,46,49340,0.0,47,K0459,69960.66,Nordrhein-Westfalen
913,62,89774,1.0,72,K0865,117051.99,Sachsen
914,55,66861,0.0,54,K1001,97465.12,Bayern
915,66,84822,0.0,56,K0889,118968.62,Hessen
916,59,91693,1.0,52,K0917,121840.18,Bayern
917,67,61517,0.0,43,K0537,80799.11,Niedersachsen
918,66,78548,0.0,69,K0362,121289.35,Sachsen
919,40,61386,0.0,53,K0856,81555.07,Niedersachsen
920,41,45016,0.0,39,K0399,65106.71,Niedersachsen
921,30,39302,1.0,35,K0448,71437.17,Baden-Württemberg
922,65,83431,1.0,65,K0210,119640.51,Baden-Württemberg
923,48,46259,1.0,29,K0502,73400.97,Baden-Württemberg
924,53,56160,1.0,38,K0782,93839.56,Nordrhein-Westfalen
925,37,47689,0.0,20,K0912,73619.96,Hessen
926,55,56264,1.0,40,K0412,83364.29,Baden-Württemberg
927,34,27844,0.0,36,K0690,41694.48,Bayern
928,43,72619,1.0,56,K0698,94619.66,Berlin
929,57,51842,0.0,51,K0045,70527.14,Sachsen
930,39,16051,0.0,29,K0535,24654.09,Hamburg
931,55,63325,0.0,46,K0766,89117.31,Berlin
932,58,64638,1.0,46,K0335,98621.47,Bayern
933,44,54514,1.0,53,K0695,80645.05,Hessen
934,39,44538,0.0,40,K0603,74086.48,Bayern
935,65,96471,1.0,55,K0520,145684.18,Nordrhein-Westfalen
936,36,35235,1.0,22,K0468,67764.25,Nordrhein-Westfalen
937,36,41489,1.0,47,K1047,63321.68,Baden-Württemberg
938,70,77553,1.0,58,K0619,119128.85,Bayern
939,62,62829,1.0,42,K0449,96175.78,Baden-Württemberg
940,50,67714,0.0,55,K0919,90616.13,Hessen
941,69,73444,1.0,47,K0052,115561.62,Niedersachsen
942,52,49778,1.0,44,K0732,72763.75,Thüringen
943,46,61088,1.0,48,K0622,117616.31,Berlin
944,40,61057,0.0,47,K0735,77084.28,Baden-Württemberg
945,35,52067,1.0,44,K0199,67345.58,Berlin
946,58,64180,1.0,51,K0057,98148.01,Baden-Württemberg
947,41,39630,1.0,41,K0507,80659.67,Bayern
948,46,67665,0.0,50,K0299,83620.57,Berlin
949,40,43103,0.0,33,K0531,77219.0,Berlin
950,35,39813,0.0,31,K0998,60757.87,Niedersachsen
951,40,45448,0.0,40,K0193,70066.79,Baden-Württemberg
952,61,90246,0.0,61,K0139,111436.45,Bayern
953,65,60323,1.0,47,K0588,90362.92,Niedersachsen
954,57,70535,1.0,46,K0406,88743.79,Nordrhein-Westfalen
955,64,76331,1.0,52,K0630,108153.91,Baden-Württemberg
956,53,57988,1.0,45,K0713,114801.87,Nordrhein-Westfalen
957,35,58838,1.0,47,K1056,81539.66,Sachsen
958,68,89783,1.0,73,K0957,138190.26,Baden-Württemberg
959,64,69256,1.0,47,K0110,110341.3,Berlin
960,46,47284,0.0,46,K0278,62114.5,Niedersachsen
961,66,63799,1.0,48,K0032,109159.01,Brandenburg
962,40,47192,0.0,48,K0087,72220.0,Sachsen
963,41,42992,1.0,38,K0454,65811.72,Bayern
964,37,45503,1.0,35,K0089,50836.91,Nordrhein-Westfalen
965,51,66908,1.0,65,K0108,93021.39,Bayern
966,38,34983,0.0,33,K0333,39236.62,Hamburg
967,43,38995,1.0,43,K0944,61300.12,Nordrhein-Westfalen
968,64,60640,1.0,46,K0774,92602.45,Baden-Württemberg
969,46,62061,1.0,43,K0716,105588.24,Nordrhein-Westfalen
970,55,63152,1.0,46,K1029,101027.77,Niedersachsen
971,63,65114,1.0,47,K0466,102718.58,Berlin
972,31,45575,1.0,41,K0729,67425.51,Bayern
973,39,48855,1.0,46,K0426,68265.8,Hessen
974,68,84070,1.0,63,K0573,122645.18,Brandenburg
975,68,83899,0.0,59,K0523,128052.56,Berlin
976,55,81244,1.0,58,K0614,108119.52,Hamburg
977,44,40928,0.0,36,K0938,68349.12,Niedersachsen
978,53,30821,1.0,26,K0011,58450.55,Nordrhein-Westfalen
979,33,46732,1.0,37,K1094,78942.39,Berlin
980,61,59597,0.0,47,K0934,104647.51,Baden-Württemberg
981,53,63147,1.0,47,K0725,105317.06,Hamburg
982,31,30572,0.0,31,K0328,47857.93,Thüringen
983,31,24944,1.0,35,K0179,31094.22,Hessen
984,57,37682,0.0,45,K0568,48170.28,Berlin
985,42,68945,1.0,49,K0974,88842.18,Berlin
986,49,32964,0.0,29,K0591,49823.49,Bayern
987,37,55505,1.0,39,K0952,61612.78,Berlin
988,40,50626,1.0,40,K0586,75452.53,Sachsen
989,43,45517,0.0,33,K0114,63320.19,Hessen
990,60,60569,0.0,52,K0843,89849.34,Brandenburg
991,68,94307,0.0,56,K0334,139799.0,Berlin
992,46,50946,0.0,32,K0050,83406.88,Nordrhein-Westfalen
993,63,92456,0.0,57,K0060,141292.39,Bayern
994,69,80400,0.0,54,K0945,120052.16,Berlin
995,50,55477,1.0,46,K1028,88889.58,Hamburg
996,35,25203,1.0,37,K0755,48554.06,Brandenburg
997,49,34170,0.0,30,K0274,53806.21,Hessen
998,35,53806,1.0,45,K0949,84195.58,Berlin
999,50,35262,0.0,25,K0585,55722.36,Berlin
1000,55,79794,1.0,54,K0784,118498.73,Hessen
1001,41,46542,1,40,K0024,63477.0,Baden-Württemberg
1002,62,72626,1.0,59,K0219,109158.35,Baden-Württemberg
1003,68,77118,1.0,47,K0159,83418.33,Berlin
1004,47,56965,0.0,41,K0532,86689.81,Niedersachsen
1005,48,67923,0.0,41,K0211,104683.62,Sachsen
1006,63,55422,0.0,40,K0680,81784.14,Sachsen
1007,50,64086,1.0,34,K1035,92285.2,Sachsen
1008,51,72996,0.0,50,K0813,124497.54,Bayern
1009,34,25970,0.0,33,K0981,45444.01,Bayern
1010,30,42551,1.0,46,K0084,58706.65,Niedersachsen
1011,58,73890,0.0,48,K0982,100147.52,Sachsen
1012,39,59413,0.0,44,K0421,80369.74,Baden-Württemberg
1013,60,51460,1.0,31,K0834,80985.24,Sachsen
1014,51,72225,0.0,52,K0826,120296.65,Nordrhein-Westfalen
1015,46,65611,1.0,54,K0721,85435.92,Thüringen
1016,61,57745,1.0,49,K0129,102766.17,Baden-Württemberg
1017,35,38580,1.0,44,K0360,47131.37,Baden-Württemberg
1018,36,55185,0.0,50,K0276,64034.01,Nordrhein-Westfalen
1019,58,52599,1.0,47,K0954,88810.94,Sachsen
1020,32,31090,1.0,29,K0320,59413.64,Baden-Württemberg
1021,58,59695,1.0,43,K0077,99547.37,Bayern
1022,66,73497,1.0,47,K0618,104863.39,Baden-Württemberg
1023,49,40198,1.0,52,K0209,62115.3,Bayern
1024,37,43760,1.0,35,K0571,63570.42,Hessen
1025,68,70277,1.0,48,K0221,130143.33,Bayern
1026,56,66786,1.0,55,K0287,108886.48,Berlin
1027,47,57545,1.0,45,K0789,70459.81,Niedersachsen
1028,48,47153,0.0,20,K0378,67603.44,Sachsen
1029,48,30477,1.0,29,K0244,53902.36,Niedersachsen
1030,36,47319,0.0,43,K0140,76696.47,Sachsen
1031,36,39697,0.0,48,K0232,60883.05,Sachsen
1032,40,59298,1.0,40,K0994,96941.73,Sachsen
1033,50,88749,0.0,64,K0494,119134.23,Bayern
1034,35,51556,1.0,46,K0631,73467.98,Bayern
1035,69,82036,0.0,52,K0372,118543.95,Berlin
1036,56,69651,1.0,54,K0709,123769.4,Baden-Württemberg
1037,62,62114,1.0,44,K0271,87670.86,Berlin
1038,37,37168,1.0,30,K0815,55031.56,Bayern
1039,31,41983,1.0,50,K0968,43660.45,Baden-Württemberg
1040,36,46427,1.0,28,K1055,57408.1,Bayern
1041,70,63937,0.0,46,K0157,121009.5,Hessen
1042,33,23596,1.0,27,K0862,44008.34,Baden-Württemberg
1043,56,67000,1.0,63,K0964,117255.91,Baden-Württemberg
1044,56,57640,0.0,46,K0986,83811.43,Niedersachsen
1045,65,86078,0.0,68,K1030,133381.03,Thüringen
1046,55,62380,0.0,64,K0465,92302.99,Niedersachsen
1047,30,49606,0.0,34,K0079,76579.11,Baden-Württemberg
1048,32,50330,1.0,27,K0175,49540.28,Bayern
1049,32,28303,0.0,26,K0809,57388.47,Bayern
1050,64,93624,1.0,55,K0791,126237.04,Bayern
1051,64,85374,1.0,62,K0528,121684.52,Baden-Württemberg
1052,50,41164,1.0,31,K0644,74268.93,Nordrhein-Westfalen
1053,62,80179,1.0,56,K0332,138650.02,Niedersachsen
1054,43,44559,1.0,22,K0040,74144.49,Sachsen
1055,32,40277,1.0,34,K0031,42093.26,Bayern
